:START_ID(Author_Address),:END_ID(Author_Address),:TYPE
河海大学水资源和水利工程国家重点实验室,河海大学水文水资源与水利工程科学国家重点实验室,ALIAS_OF
黑龙江省佳木斯市学府街258号,黑龙江省佳木斯市向阳区学府街258号,ALIAS_OF
湖南省药食同源功能性食品工程技术研究中心,湖南中医药大学湖南省药食同源功能性食品工程技术研究中心,ALIAS_OF
西北工业大学高等教育研究所,西北工业大学高等教育研究中心,ALIAS_OF
国家卫生健康委员会医学病毒与病毒病重点实验室,国家卫生健康委医学病毒和病毒病重点实验室,ALIAS_OF
陕西省西安市雁塔区太白南路2号,陕西省西安市太白南路2号,ALIAS_OF
航天工程大学复杂电子系统仿真重点实验室,航天工程大学复杂电子系统仿真实验室,ALIAS_OF
上海中医药大学附属市中医医院肿瘤研究所,上海中医药大学附属市中医医院肿瘤临床医学中心,ALIAS_OF
首都医科大学附属北京友谊医院超声科,首都医科大学附属北京友谊医院超声医学科,ALIAS_OF
上海海洋大学海洋科学学院,上海海洋大学海洋学院,ALIAS_OF
中国运载火箭研究院,中国运载火箭技术研究院,ALIAS_OF
四川省成都市高新区成都天府国际生物城凤凰路618号,四川省成都市成都天府国际生物城(双流区凤凰路550号),ALIAS_OF
国防科工局重大专项工程中心,国家国防科技工业局重大专项工程中心,ALIAS_OF
传染病溯源预警和智能决策全国重点实验室,中国疾病预防控制中心传染病溯源预警与智能决策全国重点实验室,ALIAS_OF
广东省广州市黄埔大道西601号,广东省广州市天河区黄埔大道西601号,ALIAS_OF
四川省成都市自由贸易试验区成都高新区天府五街200号菁蓉汇5号楼B区8层803、804室,四川省成都市中国(四川)自由贸易试验区成都高新区天府五街200号菁蓉汇5号楼B区8层803、804室,ALIAS_OF
中国医学科学院、北京协和医学院医药生物技术研究所,中国医学科学院北京协和医学院医药生物技术研究所,ALIAS_OF
解放军总医院第二医学中心老年医学研究所,中国人民解放军总医院国家老年疾病临床医学研究中心,ALIAS_OF
上海市浦东新区自由贸易试验区临港新片区环湖西二路888号C楼,上海市浦东新区中国(上海)自由贸易试验区临港新片区环湖西二路888号C楼,ALIAS_OF
Kakuma-machi,Kakuma-Machi,ALIAS_OF
Ghaziabad-,Ghaziabad,ALIAS_OF
湖北省武汉市江夏区藏龙岛杨桥湖大道19号,湖北省武汉市江夏区藏龙岛开发区杨桥湖大道19号,ALIAS_OF
