:ID,:LABEL,name
人工智能,Keyword,人工智能
权力转移,Keyword,权力转移
算法,Keyword,算法
信任,Keyword,信任
新闻基础设施,Keyword,新闻基础设施
范式变革,Keyword,范式变革
历史研究,Keyword,历史研究
内资企业,Keyword,内资企业
溢出效应,Keyword,溢出效应
全球价值链,Keyword,全球价值链
孔隙尺度可视化,Keyword,孔隙尺度可视化
多孔介质,Keyword,多孔介质
微塑料,Keyword,微塑料
DeepSeek,Keyword,DeepSeek
AI焦虑,Keyword,AI焦虑
技术竞速,Keyword,技术竞速
ChatGPT,Keyword,ChatGPT
此在生存,Keyword,此在生存
生成式人工智能,Keyword,生成式人工智能
技术向善,Keyword,技术向善
Manus,Keyword,Manus
Sora,Keyword,Sora
新质生产力,Keyword,新质生产力
意识形态安全,Keyword,意识形态安全
意识形态风险,Keyword,意识形态风险
人工智能素养框架,Keyword,人工智能素养框架
人工智能素养,Keyword,人工智能素养
框架内容,Keyword,框架内容
融合特征,Keyword,融合特征
经济效应,Keyword,经济效应
实数融合,Keyword,实数融合
制造业,Keyword,制造业
教学环境,Keyword,教学环境
教学方法,Keyword,教学方法
教学智慧,Keyword,教学智慧
思政课教学,Keyword,思政课教学
复杂系统理论,Keyword,复杂系统理论
平台经济,Keyword,平台经济
模型评估,Keyword,模型评估
影响因素,Keyword,影响因素
人机协同写作,Keyword,人机协同写作
写作质量,Keyword,写作质量
协同行为,Keyword,协同行为
协同方式,Keyword,协同方式
范式转型,Keyword,范式转型
仿真模拟,Keyword,仿真模拟
复杂系统,Keyword,复杂系统
人口学,Keyword,人口学
情智融合,Keyword,情智融合
社会工作,Keyword,社会工作
数字政府,Keyword,数字政府
搜索引擎,Keyword,搜索引擎
协商民主,Keyword,协商民主
行政法,Keyword,行政法
政府信息,Keyword,政府信息
创新范式,Keyword,创新范式
技术组织生态框架,Keyword,技术组织生态框架
企业创新,Keyword,企业创新
国家创新体系,Keyword,国家创新体系
对话策略,Keyword,对话策略
学习模式,Keyword,学习模式
协同探究,Keyword,协同探究
药物管理,Keyword,药物管理
老年人,Keyword,老年人
慢性病,Keyword,慢性病
综述,Keyword,综述
数据库,Keyword,数据库
强化学习,Keyword,强化学习
查询优化,Keyword,查询优化
深度学习,Keyword,深度学习
关系反思,Keyword,关系反思
外倾性,Keyword,外倾性
关系重塑,Keyword,关系重塑
情感支持,Keyword,情感支持
权利救济,Keyword,权利救济
数据权利体系,Keyword,数据权利体系
训练数据,Keyword,训练数据
数据限制处理权,Keyword,数据限制处理权
过错责任,Keyword,过错责任
虚拟损害,Keyword,虚拟损害
人工智能侵权,Keyword,人工智能侵权
证据开示,Keyword,证据开示
产品责任,Keyword,产品责任
胚胎发育,Keyword,胚胎发育
配子,Keyword,配子
企业,Keyword,企业
数字化转型,Keyword,数字化转型
深度伪造,Keyword,深度伪造
使用者,Keyword,使用者
注意义务,Keyword,注意义务
技术信任,Keyword,技术信任
数据管理透明度,Keyword,数据管理透明度
隐私披露,Keyword,隐私披露
隐私风险,Keyword,隐私风险
图神经网络,Keyword,图神经网络
空间转录组,Keyword,空间转录组
细胞异质性,Keyword,细胞异质性
聚类,Keyword,聚类
机器学习,Keyword,机器学习
心血管疾病,Keyword,心血管疾病
素养指标,Keyword,素养指标
胜任力模型,Keyword,胜任力模型
数字素养,Keyword,数字素养
公务员,Keyword,公务员
价值链,Keyword,价值链
传媒业,Keyword,传媒业
教学改革,Keyword,教学改革
师生沟通,Keyword,师生沟通
一流大学,Keyword,一流大学
麻省理工学院斯隆管理学院,Keyword,麻省理工学院斯隆管理学院
赋能教学,Keyword,赋能教学
教师支持体系,Keyword,教师支持体系
人才培养,Keyword,人才培养
基础教育,Keyword,基础教育
新质教育,Keyword,新质教育
教育内卷,Keyword,教育内卷
语料库语言学,Keyword,语料库语言学
自然语言处理,Keyword,自然语言处理
外语教材编写,Keyword,外语教材编写
教师角色,Keyword,教师角色
教师人工智能能力框架,Keyword,教师人工智能能力框架
教师专业发展,Keyword,教师专业发展
人乳头瘤病毒,Keyword,人乳头瘤病毒
宫颈癌,Keyword,宫颈癌
网络药理学,Keyword,网络药理学
基因敲除,Keyword,基因敲除
多靶点,Keyword,多靶点
生物信息学,Keyword,生物信息学
组学,Keyword,组学
中药,Keyword,中药
单细胞转录组,Keyword,单细胞转录组
药理,Keyword,药理
主体强自主性,Keyword,主体强自主性
自我引导,Keyword,自我引导
环境强生成性,Keyword,环境强生成性
群体智慧结构,Keyword,群体智慧结构
生成式学习,Keyword,生成式学习
个性化学习,Keyword,个性化学习
数字崇拜,Keyword,数字崇拜
教育研究,Keyword,教育研究
数字正义,Keyword,数字正义
研究范式,Keyword,研究范式
美国中小学,Keyword,美国中小学
风险因素,Keyword,风险因素
应用划界,Keyword,应用划界
适切之道,Keyword,适切之道
归责原则,Keyword,归责原则
侵权主体,Keyword,侵权主体
科研场景,Keyword,科研场景
学科背景,Keyword,学科背景
网络服务提供者,Keyword,网络服务提供者
“避风港”规则,Keyword,“避风港”规则
通知—必要措施,Keyword,通知—必要措施
范式跃迁,Keyword,范式跃迁
生成式人工智能治理,Keyword,生成式人工智能治理
控制论三维架构,Keyword,控制论三维架构
递归反馈机制,Keyword,递归反馈机制
敏捷治理,Keyword,敏捷治理
技术变革,Keyword,技术变革
大模型,Keyword,大模型
科技创新,Keyword,科技创新
工作场所数字化,Keyword,工作场所数字化
情绪反应,Keyword,情绪反应
图书情报人员,Keyword,图书情报人员
异质性处理效应,Keyword,异质性处理效应
技术红利,Keyword,技术红利
科研人员,Keyword,科研人员
人工智能价值链,Keyword,人工智能价值链
法律型塑,Keyword,法律型塑
通用模型提供者,Keyword,通用模型提供者
责任分配,Keyword,责任分配
人工智能立法,Keyword,人工智能立法
概念体系,Keyword,概念体系
谱系学分析,Keyword,谱系学分析
具身智能,Keyword,具身智能
动力内核,Keyword,动力内核
全要素生产率,Keyword,全要素生产率
实践载体,Keyword,实践载体
战略保障,Keyword,战略保障
