:START_ID(Document),:END_ID(Organization),:TYPE
基于铌酸盐的复合半导体材料设计与性能研究,南京信息工程大学,PUBLISHED_BY
中医药干预PCI术后慢性冠脉综合征患者不良预后的临床研究,北京协和医学院,PUBLISHED_BY
基于深度学习的计算机视觉图像分割的研究,江南大学,PUBLISHED_BY
基于微生物组学胆管癌患者肠道与胆汁菌群特征研究,天津医科大学,PUBLISHED_BY
两种口腔致病菌细胞表面糖类抗原的化学合成研究,江南大学,PUBLISHED_BY
人工智能背景下团队断层对团队创造力的影响机制研究,上海外国语大学,PUBLISHED_BY
科学哲学视域下的自然语言处理研究,山西大学,PUBLISHED_BY
钴基复合材料的制备及其电催化析氧性能研究,宁夏大学,PUBLISHED_BY
我国金融科技服务实体经济转型发展研究,对外经济贸易大学,PUBLISHED_BY
基于深度学习的轻量化小目标检测算法研究,齐鲁工业大学,PUBLISHED_BY
基于深度学习的对话系统研究与应用,中国科学技术大学,PUBLISHED_BY
人工智能背景下影视内容审查人员职业技能提升研究,北京物资学院,PUBLISHED_BY
MXene基异质结构催化剂电解水析氢性能研究,延安大学,PUBLISHED_BY
数字新基建对出口产品质量升级的影响研究,广西民族大学,PUBLISHED_BY
政务服务数据治理生态系统及其成熟度评估研究,吉林大学,PUBLISHED_BY
含氮杂环化合物的电化学合成,湖南大学,PUBLISHED_BY
“乡村振兴”背景下体育行为对留守儿童身心健康干预的实验研究——以鄂西恩施州部分乡村小学为例,中国湖北黄冈,PUBLISHED_BY
慢性白酒糟中毒山羊血液生化、代谢组学及乙醇代谢途径关键基因表达变化,西南大学,PUBLISHED_BY
不确定需求下生鲜农产品双渠道供应链定价及协调研究,山东交通学院,PUBLISHED_BY
电化学合成臭氧的检测方案与高效PbO2催化剂的设计,华南理工大学,PUBLISHED_BY
一种基于预训练模型的数据库操作代码生成模块的设计与实现,北京大学,PUBLISHED_BY
云南省红河州2005-2020年乙型病毒性肝炎流行特征及防控策略研究,昆明医科大学,PUBLISHED_BY
基于Bi4TaO8Cl的微波辅助光催化CO2还原研究,东北师范大学,PUBLISHED_BY
叙利亚冬季干暖锋气旋强降水研究及其人工智能预报方法,南京信息工程大学,PUBLISHED_BY
SIR模型在新冠疫情分析中的应用,山东大学,PUBLISHED_BY
多囊卵巢综合征发病相关因素及内分泌代谢特征的临床研究,吉林大学,PUBLISHED_BY
量子集成光学芯片器件的研究,中国科学技术大学,PUBLISHED_BY
基于深度学习的网络评论方面级情感分析研究,江西财经大学,PUBLISHED_BY
基于长期视觉特征的阿尔茨海默症检测,安徽理工大学,PUBLISHED_BY
贝叶斯网络推理算法及其应用研究,西北工业大学,PUBLISHED_BY
数据驱动的新型冠状病毒肺炎传播动力学建模及研究,长春理工大学,PUBLISHED_BY
基于基因组学和转录组学的热纤梭菌降解纤维二糖研究,黑龙江科技大学,PUBLISHED_BY
基于深度学习构建骨盆正位片质量智能评价的初步研究,长春中医药大学,PUBLISHED_BY
微塑料及其与镉交互作用对高粱生长和根际微生物组的影响,南阳师范学院,PUBLISHED_BY
基于文本数据的安全生产事故自分类模型与风险预控研究,中国矿业大学,PUBLISHED_BY
碳纳米管在骨组织工程与再生医学领域的应用与挑战,中国陕西西安,PUBLISHED_BY
面向教育知识图谱的小样本关系抽取技术研究及应用,南京邮电大学,PUBLISHED_BY
中国蚌类超级条形码与系统发育基因组学,中国云南昆明,PUBLISHED_BY
Versican V0/V1对小鼠牙胚成牙分化的影响,中国福建厦门,PUBLISHED_BY
后人类主义视角下戏剧作品的叙事伦理研究,广西大学,PUBLISHED_BY
肿瘤靶向pH/还原响应型非抗凝肝素化ES2-紫杉醇纳米递送系统的构建及抗肿瘤作用研究,山东大学,PUBLISHED_BY
自然语言处理技术在建筑工程投资管理中的应用,防灾科技学院,PUBLISHED_BY
融合中西医特征的糖尿病周围神经病变预测模型的建立与验证,安徽中医药大学,PUBLISHED_BY
基于机器视觉的六足步行消防机器人避障系统研究,吉林建筑大学,PUBLISHED_BY
产气荚膜梭菌对大环内酯类药物的耐药特征及拉曼光谱的测定,华中农业大学,PUBLISHED_BY
从痰瘀论治慢性肾衰竭的Meta分析,江西中医药大学,PUBLISHED_BY
重大传染病疫情智能防控原理及优化方法研究,武汉理工大学,PUBLISHED_BY
基于LSTM及多头注意力的水质预警系统研究,安徽理工大学,PUBLISHED_BY
数据驱动的航空装备产业集聚区多级供应网络优化研究,贵州大学,PUBLISHED_BY
钯催化苯甲酰亚胺高烯丙酯的aza-Wacker环化反应,河北大学,PUBLISHED_BY
基于RFID的机器人和标签同时定位技术研究,华中科技大学,PUBLISHED_BY
华为公司的研发投入及效果研究,广西财经学院,PUBLISHED_BY
室外场景中智能助行车在人群中导航关键技术研究,北京邮电大学,PUBLISHED_BY
滇池pH值异常升高影响因素识别及人工智能回归应用分析研究,中国水利水电科学研究院,PUBLISHED_BY
肠道菌群在慢性应激脑损伤中的作用及其代谢机制研究,中南大学,PUBLISHED_BY
网络传染病随机动力学模型研究,山西大学,PUBLISHED_BY
人工智能可供性对时间偷窃行为的影响机制研究：素质培养的调节作用,西南财经大学,PUBLISHED_BY
TiO2基材料无氧条件下可见光光催化产氢和选择性氧化芳香醇的耦合反应,福建师范大学,PUBLISHED_BY
大型汽轮发电机组能效状态异常诊断系统研究,华北电力大学(北京),PUBLISHED_BY
